Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [929/1000] Loss: 0.057397
Epoch [930/1000] Loss: 0.057266
Epoch [931/1000] Loss: 0.057515
Epoch [932/1000] Loss: 0.057228
Epoch [933/1000] Loss: 0.057310
Epoch [934/1000] Loss: 0.057330
Epoch [935/1000] Loss: 0.057422
Epoch [936/1000] Loss: 0.057464
Epoch [937/1000] Loss: 0.057343
Epoch [938/1000] Loss: 0.057220
Epoch [939/1000] Loss: 0.057099
Epoch [940/1000] Loss: 0.057112
Epoch [941/1000] Loss: 0.057329
Epoch [942/1000] Loss: 0.057449
Epoch [943/1000] Loss: 0.057193
Epoch [944/1000] Loss: 0.057251
Epoch [945/1000] Loss: 0.057282
Epoch [946/1000] Loss: 0.057399
Epoch [947/1000] Loss: 0.057095
Epoch [948/1000] Loss: 0.057509
Epoch [949/1000] Loss: 0.057542
Epoch [950/1000] Loss: 0.057202 | Val PSNR: 24.6721
Epoch [951/1000] Loss: 0.057343
Epoch [952/1000] Loss: 0.057352
Epoch [953/1000] Loss: 0.057193
Epoch [954/1000] Loss: 0.057100
Epoch [955/1000] Loss: 0.057368
Epoch [956/1000] Loss: 0.057350
Epoch [957/1000] Loss: 0.057320
Epoch [958/1000] Loss: 0.057175
Epoch [959/1000] Loss: 0.057147
Epoch [960/1000] Loss: 0.057146
Epoch [961/1000] Loss: 0.057578
Epoch [962/1000] Loss: 0.057356
Epoch [963/1000] Loss: 0.057301
Epoch [964/1000] Loss: 0.057098
Epoch [965/1000] Loss: 0.057269
Epoch [966/1000] Loss: 0.057119
Epoch [967/1000] Loss: 0.057412
Epoch [968/1000] Loss: 0.057409
Epoch [969/1000] Loss: 0.057111
Epoch [970/1000] Loss: 0.057354
Epoch [971/1000] Loss: 0.057219
Epoch [972/1000] Loss: 0.057462
Epoch [973/1000] Loss: 0.057492
Epoch [974/1000] Loss: 0.057011
Epoch [975/1000] Loss: 0.057207
Epoch [976/1000] Loss: 0.057140
Epoch [977/1000] Loss: 0.057146
Epoch [978/1000] Loss: 0.057181
Epoch [979/1000] Loss: 0.057103
Epoch [980/1000] Loss: 0.057181
Epoch [981/1000] Loss: 0.056978
