Using device: cuda, AMP: True
Model: edgesr, Parameters: 1,436,931
Epoch [257/600] Loss: 0.022749
Epoch [258/600] Loss: 0.022711
Epoch [259/600] Loss: 0.022710
Epoch [260/600] Loss: 0.022706
Epoch [261/600] Loss: 0.022754
Epoch [262/600] Loss: 0.022651
Epoch [263/600] Loss: 0.022661
Epoch [264/600] Loss: 0.022651
Epoch [265/600] Loss: 0.022635
Epoch [266/600] Loss: 0.022729
Epoch [267/600] Loss: 0.022777
Epoch [268/600] Loss: 0.022679
Epoch [269/600] Loss: 0.022722
Epoch [270/600] Loss: 0.022694
Epoch [271/600] Loss: 0.022701
Epoch [272/600] Loss: 0.022650
Epoch [273/600] Loss: 0.022589
Epoch [274/600] Loss: 0.022654
Epoch [275/600] Loss: 0.022732
Epoch [276/600] Loss: 0.022678
Epoch [277/600] Loss: 0.022679
Epoch [278/600] Loss: 0.022600
Epoch [279/600] Loss: 0.022693
Epoch [280/600] Loss: 0.022669
Epoch [281/600] Loss: 0.022704
Epoch [282/600] Loss: 0.022687
Epoch [283/600] Loss: 0.022695
Epoch [284/600] Loss: 0.022650
Epoch [285/600] Loss: 0.022574
Epoch [286/600] Loss: 0.022672
Epoch [287/600] Loss: 0.022631
Epoch [288/600] Loss: 0.022663
Epoch [289/600] Loss: 0.022751
Epoch [290/600] Loss: 0.022674
Epoch [291/600] Loss: 0.022588
Epoch [292/600] Loss: 0.022587
Epoch [293/600] Loss: 0.022662
Epoch [294/600] Loss: 0.022628
Epoch [295/600] Loss: 0.022680
Epoch [296/600] Loss: 0.022677
Epoch [297/600] Loss: 0.022628
Epoch [298/600] Loss: 0.022562
Epoch [299/600] Loss: 0.022666
Epoch [300/600] Loss: 0.022659 | Val PSNR: 31.6919
  New best model saved (PSNR: 31.6919)
Epoch [301/600] Loss: 0.022676
Epoch [302/600] Loss: 0.022729
Epoch [303/600] Loss: 0.022569
Epoch [304/600] Loss: 0.022625
Epoch [305/600] Loss: 0.022708
Epoch [306/600] Loss: 0.022553
