Using device: cuda, AMP: True
Model: baseline, Parameters: 1,369,859
Epoch [286/600] Loss: 0.012601
Epoch [287/600] Loss: 0.012603
Epoch [288/600] Loss: 0.012602
Epoch [289/600] Loss: 0.012601
Epoch [290/600] Loss: 0.012600
Epoch [291/600] Loss: 0.012597
Epoch [292/600] Loss: 0.012597
Epoch [293/600] Loss: 0.012591
Epoch [294/600] Loss: 0.012597
Epoch [295/600] Loss: 0.012599
Epoch [296/600] Loss: 0.012593
Epoch [297/600] Loss: 0.012600
Epoch [298/600] Loss: 0.012592
Epoch [299/600] Loss: 0.012596
Epoch [300/600] Loss: 0.012603 | Val PSNR: 37.6392
Epoch [301/600] Loss: 0.012597
Epoch [302/600] Loss: 0.012599
Epoch [303/600] Loss: 0.012593
Epoch [304/600] Loss: 0.012592
Epoch [305/600] Loss: 0.012589
Epoch [306/600] Loss: 0.012595
Epoch [307/600] Loss: 0.012593
Epoch [308/600] Loss: 0.012598
Epoch [309/600] Loss: 0.012595
Epoch [310/600] Loss: 0.012598
Epoch [311/600] Loss: 0.012593
Epoch [312/600] Loss: 0.012598
Epoch [313/600] Loss: 0.012587
Epoch [314/600] Loss: 0.012597
Epoch [315/600] Loss: 0.012597
Epoch [316/600] Loss: 0.012593
Epoch [317/600] Loss: 0.012590
Epoch [318/600] Loss: 0.012591
Epoch [319/600] Loss: 0.012595
Epoch [320/600] Loss: 0.012593
Epoch [321/600] Loss: 0.012592
Epoch [322/600] Loss: 0.012590
Epoch [323/600] Loss: 0.012592
Epoch [324/600] Loss: 0.012588
Epoch [325/600] Loss: 0.012589
Epoch [326/600] Loss: 0.012584
Epoch [327/600] Loss: 0.012591
Epoch [328/600] Loss: 0.012588
Epoch [329/600] Loss: 0.012589
Epoch [330/600] Loss: 0.012587
Epoch [331/600] Loss: 0.012591
Epoch [332/600] Loss: 0.012590
Epoch [333/600] Loss: 0.012588
Epoch [334/600] Loss: 0.012590
Epoch [335/600] Loss: 0.012586
Epoch [336/600] Loss: 0.012596
Epoch [337/600] Loss: 0.012594
Epoch [338/600] Loss: 0.012584
Epoch [339/600] Loss: 0.012586
Epoch [340/600] Loss: 0.012587
Epoch [341/600] Loss: 0.012586
Epoch [342/600] Loss: 0.012589
Epoch [343/600] Loss: 0.012588
Epoch [344/600] Loss: 0.012586
Epoch [345/600] Loss: 0.012585
Epoch [346/600] Loss: 0.012585
Epoch [347/600] Loss: 0.012586
Epoch [348/600] Loss: 0.012585
Epoch [349/600] Loss: 0.012586
Epoch [350/600] Loss: 0.012589 | Val PSNR: 37.7408
  New best model saved (PSNR: 37.7408)
Epoch [351/600] Loss: 0.012588
Epoch [352/600] Loss: 0.012584
Epoch [353/600] Loss: 0.012585
Epoch [354/600] Loss: 0.012583
Epoch [355/600] Loss: 0.012584
Epoch [356/600] Loss: 0.012585
Epoch [357/600] Loss: 0.012582
Epoch [358/600] Loss: 0.012583
Epoch [359/600] Loss: 0.012582
Epoch [360/600] Loss: 0.012580
Epoch [361/600] Loss: 0.012583
Epoch [362/600] Loss: 0.012587
Epoch [363/600] Loss: 0.012583
Epoch [364/600] Loss: 0.012579
Epoch [365/600] Loss: 0.012585
Epoch [366/600] Loss: 0.012576
Epoch [367/600] Loss: 0.012583
Epoch [368/600] Loss: 0.012581
Epoch [369/600] Loss: 0.012579
Epoch [370/600] Loss: 0.012580
Epoch [371/600] Loss: 0.012582
Epoch [372/600] Loss: 0.012585
Epoch [373/600] Loss: 0.012576
Epoch [374/600] Loss: 0.012578
Epoch [375/600] Loss: 0.012581
Epoch [376/600] Loss: 0.012586
Epoch [377/600] Loss: 0.012578
Epoch [378/600] Loss: 0.012583
Epoch [379/600] Loss: 0.012578
Epoch [380/600] Loss: 0.012575
Epoch [381/600] Loss: 0.012581
Epoch [382/600] Loss: 0.012580
Epoch [383/600] Loss: 0.012582
Epoch [384/600] Loss: 0.012579
Epoch [385/600] Loss: 0.012578
Epoch [386/600] Loss: 0.012578
Epoch [387/600] Loss: 0.012578
Epoch [388/600] Loss: 0.012578
Epoch [389/600] Loss: 0.012579
Epoch [390/600] Loss: 0.012576
Epoch [391/600] Loss: 0.012578
Epoch [392/600] Loss: 0.012576
Epoch [393/600] Loss: 0.012577
Epoch [394/600] Loss: 0.012579
Epoch [395/600] Loss: 0.012576
Epoch [396/600] Loss: 0.012576
Epoch [397/600] Loss: 0.012581
Epoch [398/600] Loss: 0.012578
Epoch [399/600] Loss: 0.012575
Epoch [400/600] Loss: 0.012576 | Val PSNR: 37.7497
  New best model saved (PSNR: 37.7497)
Epoch [401/600] Loss: 0.012527
Epoch [402/600] Loss: 0.012525
Epoch [403/600] Loss: 0.012526
Epoch [404/600] Loss: 0.012524
Epoch [405/600] Loss: 0.012527
Epoch [406/600] Loss: 0.012523
Epoch [407/600] Loss: 0.012526
Epoch [408/600] Loss: 0.012523
Epoch [409/600] Loss: 0.012520
Epoch [410/600] Loss: 0.012524
Epoch [411/600] Loss: 0.012521
Epoch [412/600] Loss: 0.012523
Epoch [413/600] Loss: 0.012524
Epoch [414/600] Loss: 0.012520
Epoch [415/600] Loss: 0.012522
Epoch [416/600] Loss: 0.012524
Epoch [417/600] Loss: 0.012522
Epoch [418/600] Loss: 0.012521
Epoch [419/600] Loss: 0.012524
Epoch [420/600] Loss: 0.012521
Epoch [421/600] Loss: 0.012521
Epoch [422/600] Loss: 0.012523
Epoch [423/600] Loss: 0.012521
Epoch [424/600] Loss: 0.012523
Epoch [425/600] Loss: 0.012518
Epoch [426/600] Loss: 0.012519
Epoch [427/600] Loss: 0.012523
Epoch [428/600] Loss: 0.012519
Epoch [429/600] Loss: 0.012520
Epoch [430/600] Loss: 0.012517
Epoch [431/600] Loss: 0.012518
Epoch [432/600] Loss: 0.012516
Epoch [433/600] Loss: 0.012517
Epoch [434/600] Loss: 0.012515
Epoch [435/600] Loss: 0.012517
Epoch [436/600] Loss: 0.012521
Epoch [437/600] Loss: 0.012521
Epoch [438/600] Loss: 0.012517
Epoch [439/600] Loss: 0.012516
Epoch [440/600] Loss: 0.012515
Epoch [441/600] Loss: 0.012519
Epoch [442/600] Loss: 0.012518
Epoch [443/600] Loss: 0.012516
Epoch [444/600] Loss: 0.012522
Epoch [445/600] Loss: 0.012517
Epoch [446/600] Loss: 0.012520
Epoch [447/600] Loss: 0.012521
Epoch [448/600] Loss: 0.012519
Epoch [449/600] Loss: 0.012515
Epoch [450/600] Loss: 0.012516 | Val PSNR: 37.7662
  New best model saved (PSNR: 37.7662)
Epoch [451/600] Loss: 0.012517
Epoch [452/600] Loss: 0.012518
Epoch [453/600] Loss: 0.012516
Epoch [454/600] Loss: 0.012515
Epoch [455/600] Loss: 0.012516
Epoch [456/600] Loss: 0.012515
Epoch [457/600] Loss: 0.012517
Epoch [458/600] Loss: 0.012518
Epoch [459/600] Loss: 0.012515
Epoch [460/600] Loss: 0.012517
Epoch [461/600] Loss: 0.012518
Epoch [462/600] Loss: 0.012516
Epoch [463/600] Loss: 0.012519
Epoch [464/600] Loss: 0.012516
Epoch [465/600] Loss: 0.012514
Epoch [466/600] Loss: 0.012515
Epoch [467/600] Loss: 0.012515
Epoch [468/600] Loss: 0.012515
Epoch [469/600] Loss: 0.012514
Epoch [470/600] Loss: 0.012518
Epoch [471/600] Loss: 0.012514
Epoch [472/600] Loss: 0.012516
Epoch [473/600] Loss: 0.012513
Epoch [474/600] Loss: 0.012514
Epoch [475/600] Loss: 0.012515
Epoch [476/600] Loss: 0.012513
Epoch [477/600] Loss: 0.012516
Epoch [478/600] Loss: 0.012517
Epoch [479/600] Loss: 0.012515
Epoch [480/600] Loss: 0.012512
Epoch [481/600] Loss: 0.012514
Epoch [482/600] Loss: 0.012518
Epoch [483/600] Loss: 0.012514
Epoch [484/600] Loss: 0.012517
Epoch [485/600] Loss: 0.012515
Epoch [486/600] Loss: 0.012514
Epoch [487/600] Loss: 0.012514
Epoch [488/600] Loss: 0.012514
Epoch [489/600] Loss: 0.012512
Epoch [490/600] Loss: 0.012513
Epoch [491/600] Loss: 0.012511
Epoch [492/600] Loss: 0.012514
Epoch [493/600] Loss: 0.012512
Epoch [494/600] Loss: 0.012512
Epoch [495/600] Loss: 0.012512
Epoch [496/600] Loss: 0.012510
Epoch [497/600] Loss: 0.012510
Epoch [498/600] Loss: 0.012511
Epoch [499/600] Loss: 0.012514
Epoch [500/600] Loss: 0.012513 | Val PSNR: 37.7713
  New best model saved (PSNR: 37.7713)
Epoch [501/600] Loss: 0.012511
Epoch [502/600] Loss: 0.012514
Epoch [503/600] Loss: 0.012515
Epoch [504/600] Loss: 0.012512
Epoch [505/600] Loss: 0.012513
Epoch [506/600] Loss: 0.012513
Epoch [507/600] Loss: 0.012513
Epoch [508/600] Loss: 0.012512
Epoch [509/600] Loss: 0.012512
Epoch [510/600] Loss: 0.012509
Epoch [511/600] Loss: 0.012508
Epoch [512/600] Loss: 0.012512
Epoch [513/600] Loss: 0.012511
Epoch [514/600] Loss: 0.012509
Epoch [515/600] Loss: 0.012510
Epoch [516/600] Loss: 0.012510
Epoch [517/600] Loss: 0.012511
Epoch [518/600] Loss: 0.012506
Epoch [519/600] Loss: 0.012510
Epoch [520/600] Loss: 0.012512
Epoch [521/600] Loss: 0.012512
Epoch [522/600] Loss: 0.012508
Epoch [523/600] Loss: 0.012514
Epoch [524/600] Loss: 0.012512
Epoch [525/600] Loss: 0.012510
Epoch [526/600] Loss: 0.012513
Epoch [527/600] Loss: 0.012509
Epoch [528/600] Loss: 0.012512
Epoch [529/600] Loss: 0.012509
Epoch [530/600] Loss: 0.012511
Epoch [531/600] Loss: 0.012511
Epoch [532/600] Loss: 0.012511
Epoch [533/600] Loss: 0.012511
Epoch [534/600] Loss: 0.012512
Epoch [535/600] Loss: 0.012509
Epoch [536/600] Loss: 0.012512
Epoch [537/600] Loss: 0.012509
Epoch [538/600] Loss: 0.012510
Epoch [539/600] Loss: 0.012512
Epoch [540/600] Loss: 0.012508
Epoch [541/600] Loss: 0.012508
Epoch [542/600] Loss: 0.012513
Epoch [543/600] Loss: 0.012510
Epoch [544/600] Loss: 0.012508
Epoch [545/600] Loss: 0.012508
Epoch [546/600] Loss: 0.012512
Epoch [547/600] Loss: 0.012513
Epoch [548/600] Loss: 0.012510
Epoch [549/600] Loss: 0.012510
Epoch [550/600] Loss: 0.012511 | Val PSNR: 37.7684
Epoch [551/600] Loss: 0.012510
Epoch [552/600] Loss: 0.012507
Epoch [553/600] Loss: 0.012512
Epoch [554/600] Loss: 0.012509
Epoch [555/600] Loss: 0.012510
Epoch [556/600] Loss: 0.012507
Epoch [557/600] Loss: 0.012510
Epoch [558/600] Loss: 0.012506
Epoch [559/600] Loss: 0.012509
Epoch [560/600] Loss: 0.012511
Epoch [561/600] Loss: 0.012508
Epoch [562/600] Loss: 0.012507
Epoch [563/600] Loss: 0.012509
Epoch [564/600] Loss: 0.012510
Epoch [565/600] Loss: 0.012509
Epoch [566/600] Loss: 0.012509
Epoch [567/600] Loss: 0.012506
Epoch [568/600] Loss: 0.012505
Epoch [569/600] Loss: 0.012507
Epoch [570/600] Loss: 0.012508
Epoch [571/600] Loss: 0.012510
Epoch [572/600] Loss: 0.012507
Epoch [573/600] Loss: 0.012505
Epoch [574/600] Loss: 0.012505
Epoch [575/600] Loss: 0.012506
Epoch [576/600] Loss: 0.012504
Epoch [577/600] Loss: 0.012505
Epoch [578/600] Loss: 0.012507
Epoch [579/600] Loss: 0.012506
Epoch [580/600] Loss: 0.012507
Epoch [581/600] Loss: 0.012506
Epoch [582/600] Loss: 0.012505
Epoch [583/600] Loss: 0.012504
Epoch [584/600] Loss: 0.012504
Epoch [585/600] Loss: 0.012509
Epoch [586/600] Loss: 0.012507
Epoch [587/600] Loss: 0.012504
Epoch [588/600] Loss: 0.012505
Epoch [589/600] Loss: 0.012508
Epoch [590/600] Loss: 0.012502
Epoch [591/600] Loss: 0.012506
Epoch [592/600] Loss: 0.012506
Epoch [593/600] Loss: 0.012505
Epoch [594/600] Loss: 0.012504
Epoch [595/600] Loss: 0.012504
Epoch [596/600] Loss: 0.012504
Epoch [597/600] Loss: 0.012504
Epoch [598/600] Loss: 0.012507
Epoch [599/600] Loss: 0.012508
Epoch [600/600] Loss: 0.012506 | Val PSNR: 37.7743
  New best model saved (PSNR: 37.7743)
